route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2024-03-25,2.645671387791672,4.65,-2.13,No,,Cost is within the expected range based on 4.7% versus its own historical baseline and -2.1% versus similar routes.
Ahmedabad-Mumbai,2024-04-01,2.5564909956508166,0.37,-2.14,No,,Cost is within the expected range based on 0.4% versus its own historical baseline and -2.1% versus similar routes.
Ahmedabad-Mumbai,2024-04-08,2.5913201280882343,1.67,-2.31,No,,Cost is within the expected range based on 1.7% versus its own historical baseline and -2.3% versus similar routes.
Ahmedabad-Mumbai,2024-04-15,2.4576990297985284,-4.12,-7.23,No,,Cost is within the expected range based on -4.1% versus its own historical baseline and -7.2% versus similar routes.
Ahmedabad-Mumbai,2024-04-22,2.6757852025311504,4.48,4.34,No,,Cost is within the expected range based on 4.5% versus its own historical baseline and 4.3% versus similar routes.
Ahmedabad-Mumbai,2024-04-29,2.5210603611574927,-2.08,-4.29,No,,Cost is within the expected range based on -2.1% versus its own historical baseline and -4.3% versus similar routes.
Ahmedabad-Mumbai,2024-05-06,2.5989451443532863,0.95,-0.43,No,,Cost is within the expected range based on 1.0% versus its own historical baseline and -0.4% versus similar routes.
Ahmedabad-Mumbai,2024-05-13,2.654075523680244,3.2,-0.01,No,,Cost is within the expected range based on 3.2% versus its own historical baseline and -0.0% versus similar routes.
Ahmedabad-Mumbai,2024-05-20,2.5790150726984797,-0.33,-4.51,No,,Cost is within the expected range based on -0.3% versus its own historical baseline and -4.5% versus similar routes.
Ahmedabad-Mumbai,2024-05-27,2.4944184648059418,-3.29,-6.28,No,,Cost is within the expected range based on -3.3% versus its own historical baseline and -6.3% versus similar routes.
Ahmedabad-Mumbai,2024-06-03,2.4828485992110574,-3.45,-7.34,No,,Cost is within the expected range based on -3.4% versus its own historical baseline and -7.3% versus similar routes.
Ahmedabad-Mumbai,2024-06-10,2.4430930329711313,-4.49,-3.88,No,,Cost is within the expected range based on -4.5% versus its own historical baseline and -3.9% versus similar routes.
Ahmedabad-Mumbai,2024-06-17,2.5107676956369787,-1.78,-6.78,No,,Cost is within the expected range based on -1.8% versus its own historical baseline and -6.8% versus similar routes.
Ahmedabad-Mumbai,2024-06-24,2.6196755643942744,3.32,-2.17,No,,Cost is within the expected range based on 3.3% versus its own historical baseline and -2.2% versus similar routes.
Ahmedabad-Mumbai,2024-07-01,2.6243786222174967,3.0,-0.95,No,,Cost is within the expected range based on 3.0% versus its own historical baseline and -0.9% versus similar routes.
Ahmedabad-Mumbai,2024-07-08,2.587742964349953,1.44,-2.43,No,,Cost is within the expected range based on 1.4% versus its own historical baseline and -2.4% versus similar routes.
Ahmedabad-Mumbai,2024-07-15,2.5568859120809844,0.56,-6.33,No,,Cost is within the expected range based on 0.6% versus its own historical baseline and -6.3% versus similar routes.
Ahmedabad-Mumbai,2024-07-22,2.524369882591796,-0.61,-4.86,No,,Cost is within the expected range based on -0.6% versus its own historical baseline and -4.9% versus similar routes.
Ahmedabad-Mumbai,2024-07-29,2.437960242487355,-4.16,-9.02,No,,Cost is within the expected range based on -4.2% versus its own historical baseline and -9.0% versus similar routes.
Ahmedabad-Mumbai,2024-08-05,2.51422723228047,-0.94,-5.15,No,,Cost is within the expected range based on -0.9% versus its own historical baseline and -5.1% versus similar routes.
Ahmedabad-Mumbai,2024-08-12,2.442096463494508,-4.12,-8.75,No,,Cost is within the expected range based on -4.1% versus its own historical baseline and -8.8% versus similar routes.
Ahmedabad-Mumbai,2024-08-19,2.6614461572050545,4.85,-1.33,No,,Cost is within the expected range based on 4.8% versus its own historical baseline and -1.3% versus similar routes.
Ahmedabad-Mumbai,2024-08-26,2.5779351939674866,1.35,-0.64,No,,Cost is within the expected range based on 1.3% versus its own historical baseline and -0.6% versus similar routes.
Ahmedabad-Mumbai,2024-09-02,2.50964049116151,-1.11,-1.68,No,,Cost is within the expected range based on -1.1% versus its own historical baseline and -1.7% versus similar routes.
Ahmedabad-Mumbai,2024-09-09,2.5071945188556484,-0.83,-5.17,No,,Cost is within the expected range based on -0.8% versus its own historical baseline and -5.2% versus similar routes.
Ahmedabad-Mumbai,2024-09-16,2.5879459086833663,2.62,-3.35,No,,Cost is within the expected range based on 2.6% versus its own historical baseline and -3.3% versus similar routes.
Ahmedabad-Mumbai,2024-09-23,2.4824311632924037,-1.87,-7.18,No,,Cost is within the expected range based on -1.9% versus its own historical baseline and -7.2% versus similar routes.
Ahmedabad-Mumbai,2024-09-30,2.4886278923794034,-1.84,-6.69,No,,Cost is within the expected range based on -1.8% versus its own historical baseline and -6.7% versus similar routes.
Ahmedabad-Mumbai,2024-10-07,2.492086513725532,-1.58,-7.89,No,,Cost is within the expected range based on -1.6% versus its own historical baseline and -7.9% versus similar routes.
Ahmedabad-Mumbai,2024-10-14,2.472296969534172,-2.6,-5.81,No,,Cost is within the expected range based on -2.6% versus its own historical baseline and -5.8% versus similar routes.
Ahmedabad-Mumbai,2024-10-21,2.5550538878508284,1.6,-5.28,No,,Cost is within the expected range based on 1.6% versus its own historical baseline and -5.3% versus similar routes.
Ahmedabad-Mumbai,2024-10-28,2.672612582109468,6.4,4.25,No,,Cost is within the expected range based on 6.4% versus its own historical baseline and 4.3% versus similar routes.
Ahmedabad-Mumbai,2024-11-04,2.521688348143562,-0.42,-4.68,No,,Cost is within the expected range based on -0.4% versus its own historical baseline and -4.7% versus similar routes.
Ahmedabad-Mumbai,2024-11-11,2.584997698857649,2.01,-3.46,No,,Cost is within the expected range based on 2.0% versus its own historical baseline and -3.5% versus similar routes.
Ahmedabad-Mumbai,2024-11-18,2.5948623833166735,2.41,-2.37,No,,Cost is within the expected range based on 2.4% versus its own historical baseline and -2.4% versus similar routes.
Ahmedabad-Mumbai,2024-11-25,2.5970471591761854,1.93,-4.24,No,,Cost is within the expected range based on 1.9% versus its own historical baseline and -4.2% versus similar routes.
Ahmedabad-Mumbai,2024-12-02,2.4966992780677093,-2.52,-5.72,No,,Cost is within the expected range based on -2.5% versus its own historical baseline and -5.7% versus similar routes.
Ahmedabad-Mumbai,2024-12-09,2.485843656148507,-2.97,-3.59,No,,Cost is within the expected range based on -3.0% versus its own historical baseline and -3.6% versus similar routes.
Ahmedabad-Mumbai,2024-12-16,2.4521279325953174,-4.35,-7.02,No,,Cost is within the expected range based on -4.3% versus its own historical baseline and -7.0% versus similar routes.
Ahmedabad-Mumbai,2024-12-23,2.6329417251666545,3.22,-3.41,No,,Cost is within the expected range based on 3.2% versus its own historical baseline and -3.4% versus similar routes.
Ahmedabad-Mumbai,2024-12-30,2.547775311575309,0.08,-4.98,No,,Cost is within the expected range based on 0.1% versus its own historical baseline and -5.0% versus similar routes.
Ahmedabad-Mumbai,2025-01-06,2.5134644928307885,-1.4,-3.92,No,,Cost is within the expected range based on -1.4% versus its own historical baseline and -3.9% versus similar routes.
Ahmedabad-Mumbai,2025-01-13,2.604915033401009,2.55,-0.21,No,,Cost is within the expected range based on 2.6% versus its own historical baseline and -0.2% versus similar routes.
Ahmedabad-Mumbai,2025-01-20,3.290367187391166,29.47,22.49,No,N002,Note N002 applies to the Ahmedabad-Mumbai route for the week of 2025-01-20 and explains that transporters applied a temporary surcharge due to high demand and limited truck availability during a regional festival week.
Ahmedabad-Mumbai,2025-01-27,2.4608172719573984,-6.36,-7.32,No,,Cost is within the expected range based on -6.4% versus its own historical baseline and -7.3% versus similar routes.
Ahmedabad-Mumbai,2025-02-03,2.4939837389811585,-4.94,-4.55,No,,Cost is within the expected range based on -4.9% versus its own historical baseline and -4.6% versus similar routes.
Ahmedabad-Mumbai,2025-02-10,2.4431156631736823,-6.91,-8.74,No,,Cost is within the expected range based on -6.9% versus its own historical baseline and -8.7% versus similar routes.
Ahmedabad-Mumbai,2025-02-17,2.5079321148727853,-4.4,-8.61,No,,Cost is within the expected range based on -4.4% versus its own historical baseline and -8.6% versus similar routes.
Ahmedabad-Mumbai,2025-02-24,2.5039535981510816,-3.98,-19.83,No,,Cost is within the expected range based on -4.0% versus its own historical baseline and -19.8% versus similar routes.
Ahmedabad-Mumbai,2025-03-03,2.5908570207997146,-0.44,-15.79,No,,Cost is within the expected range based on -0.4% versus its own historical baseline and -15.8% versus similar routes.
Ahmedabad-Mumbai,2025-03-10,2.637082035573631,0.96,-15.91,No,,Cost is within the expected range based on 1.0% versus its own historical baseline and -15.9% versus similar routes.
Ahmedabad-Mumbai,2025-03-17,2.658672560775646,1.63,-11.51,No,,Cost is within the expected range based on 1.6% versus its own historical baseline and -11.5% versus similar routes.
Ahmedabad-Mumbai,2025-03-24,2.436154377970464,-3.98,-8.34,No,,Cost is within the expected range based on -4.0% versus its own historical baseline and -8.3% versus similar routes.
Ahmedabad-Mumbai,2025-03-31,2.613904546077844,3.15,-3.73,No,,Cost is within the expected range based on 3.2% versus its own historical baseline and -3.7% versus similar routes.
Ahmedabad-Mumbai,2025-04-07,2.4947957921086084,-2.12,-6.23,No,,Cost is within the expected range based on -2.1% versus its own historical baseline and -6.2% versus similar routes.
Ahmedabad-Mumbai,2025-04-14,2.445059188880623,-4.32,-7.25,No,,Cost is within the expected range based on -4.3% versus its own historical baseline and -7.2% versus similar routes.
Ahmedabad-Mumbai,2025-04-21,2.592997592230395,1.78,-0.0,No,,Cost is within the expected range based on 1.8% versus its own historical baseline and -0.0% versus similar routes.
Ahmedabad-Mumbai,2025-04-28,2.6512223578847594,3.62,0.58,No,,Cost is within the expected range based on 3.6% versus its own historical baseline and 0.6% versus similar routes.
Ahmedabad-Mumbai,2025-05-05,2.593351211770359,1.06,-8.78,No,,Cost is within the expected range based on 1.1% versus its own historical baseline and -8.8% versus similar routes.
Ahmedabad-Mumbai,2025-05-12,2.605234051602406,1.74,-6.68,No,,Cost is within the expected range based on 1.7% versus its own historical baseline and -6.7% versus similar routes.
Ahmedabad-Mumbai,2025-05-19,2.6337146563758265,3.12,-5.7,No,,Cost is within the expected range based on 3.1% versus its own historical baseline and -5.7% versus similar routes.
Ahmedabad-Mumbai,2025-05-26,2.6167675744345544,1.47,-6.87,No,,Cost is within the expected range based on 1.5% versus its own historical baseline and -6.9% versus similar routes.
Ahmedabad-Mumbai,2025-06-02,2.6421222588736364,2.44,-5.98,No,,Cost is within the expected range based on 2.4% versus its own historical baseline and -6.0% versus similar routes.
Ahmedabad-Mumbai,2025-06-09,2.7466788925168855,5.74,-0.59,No,,Cost is within the expected range based on 5.7% versus its own historical baseline and -0.6% versus similar routes.
Ahmedabad-Mumbai,2025-06-16,2.811372315039829,6.68,0.08,No,,Cost is within the expected range based on 6.7% versus its own historical baseline and 0.1% versus similar routes.
Ahmedabad-Mumbai,2025-06-23,2.798513326919826,5.11,1.16,No,,Cost is within the expected range based on 5.1% versus its own historical baseline and 1.2% versus similar routes.
Ahmedabad-Mumbai,2025-06-30,2.7102937953032056,1.09,-1.67,No,,Cost is within the expected range based on 1.1% versus its own historical baseline and -1.7% versus similar routes.
Ahmedabad-Mumbai,2025-07-07,2.685971182764221,-0.36,-6.86,No,,Cost is within the expected range based on -0.4% versus its own historical baseline and -6.9% versus similar routes.
Ahmedabad-Mumbai,2025-07-14,2.69073083232538,-0.55,-2.56,No,,Cost is within the expected range based on -0.6% versus its own historical baseline and -2.6% versus similar routes.
Ahmedabad-Mumbai,2025-07-21,2.7976317327229907,3.13,-1.27,No,,Cost is within the expected range based on 3.1% versus its own historical baseline and -1.3% versus similar routes.
Ahmedabad-Mumbai,2025-07-28,2.678357343287258,-2.09,-2.4,No,,Cost is within the expected range based on -2.1% versus its own historical baseline and -2.4% versus similar routes.
Ahmedabad-Mumbai,2025-08-04,2.6689409389468324,-2.59,-4.71,No,,Cost is within the expected range based on -2.6% versus its own historical baseline and -4.7% versus similar routes.
Ahmedabad-Mumbai,2025-08-11,2.627689213371858,-3.76,-6.08,No,,Cost is within the expected range based on -3.8% versus its own historical baseline and -6.1% versus similar routes.
Ahmedabad-Mumbai,2025-08-18,2.6105086370904855,-3.57,-8.48,No,,Cost is within the expected range based on -3.6% versus its own historical baseline and -8.5% versus similar routes.
Ahmedabad-Mumbai,2025-08-25,2.623613955648964,-2.24,-7.66,No,,Cost is within the expected range based on -2.2% versus its own historical baseline and -7.7% versus similar routes.
Ahmedabad-Mumbai,2025-09-01,2.713382725641261,1.51,-2.07,No,,Cost is within the expected range based on 1.5% versus its own historical baseline and -2.1% versus similar routes.
Ahmedabad-Mumbai,2025-09-08,2.6256082859812953,-1.9,-4.94,No,,Cost is within the expected range based on -1.9% versus its own historical baseline and -4.9% versus similar routes.
Ahmedabad-Mumbai,2025-09-15,2.8014841601451,4.99,-2.83,No,,Cost is within the expected range based on 5.0% versus its own historical baseline and -2.8% versus similar routes.
Ahmedabad-Mumbai,2025-09-22,2.6439898620320768,-0.93,-5.49,No,,Cost is within the expected range based on -0.9% versus its own historical baseline and -5.5% versus similar routes.
Ahmedabad-Mumbai,2025-09-29,2.703913440042561,1.48,-5.75,No,,Cost is within the expected range based on 1.5% versus its own historical baseline and -5.7% versus similar routes.
Ahmedabad-Mumbai,2025-10-06,2.748357337721765,2.98,-2.77,No,,Cost is within the expected range based on 3.0% versus its own historical baseline and -2.8% versus similar routes.
Ahmedabad-Mumbai,2025-10-13,2.7203148875756535,1.36,-1.99,No,,Cost is within the expected range based on 1.4% versus its own historical baseline and -2.0% versus similar routes.
Ahmedabad-Mumbai,2025-10-20,2.742886889824357,1.68,-1.02,No,,Cost is within the expected range based on 1.7% versus its own historical baseline and -1.0% versus similar routes.
Ahmedabad-Mumbai,2025-10-27,2.668882723312132,-1.61,-3.97,No,,Cost is within the expected range based on -1.6% versus its own historical baseline and -4.0% versus similar routes.
Ahmedabad-Mumbai,2025-11-03,2.7409921596553866,1.26,-3.68,No,,Cost is within the expected range based on 1.3% versus its own historical baseline and -3.7% versus similar routes.
Ahmedabad-Mumbai,2025-11-10,2.607372428295952,-4.19,-7.42,No,,Cost is within the expected range based on -4.2% versus its own historical baseline and -7.4% versus similar routes.
Ahmedabad-Mumbai,2025-11-17,2.7477278129607905,1.88,-1.21,No,,Cost is within the expected range based on 1.9% versus its own historical baseline and -1.2% versus similar routes.
Ahmedabad-Mumbai,2025-11-24,2.6086553359692317,-3.74,-7.13,No,,Cost is within the expected range based on -3.7% versus its own historical baseline and -7.1% versus similar routes.
Ahmedabad-Mumbai,2025-12-01,2.7869759788660233,3.29,-0.39,No,,Cost is within the expected range based on 3.3% versus its own historical baseline and -0.4% versus similar routes.
Ahmedabad-Mumbai,2025-12-08,2.797142072637693,3.48,-1.99,No,,Cost is within the expected range based on 3.5% versus its own historical baseline and -2.0% versus similar routes.
Ahmedabad-Mumbai,2025-12-15,2.731910684807641,0.71,-3.58,No,,Cost is within the expected range based on 0.7% versus its own historical baseline and -3.6% versus similar routes.
Ahmedabad-Mumbai,2025-12-22,2.735441133303447,0.89,-3.36,No,,Cost is within the expected range based on 0.9% versus its own historical baseline and -3.4% versus similar routes.
Chennai-Bangalore,2024-01-01,2.688906669949324,,7.49,No,,Cost is within the expected range based on 7.5% versus similar routes.
Chennai-Bangalore,2024-01-08,2.774770369852967,3.19,6.73,No,,Cost is within the expected range based on 3.2% versus its own historical baseline and 6.7% versus similar routes.
Chennai-Bangalore,2024-01-15,2.665340871565259,-2.43,5.09,No,,Cost is within the expected range based on -2.4% versus its own historical baseline and 5.1% versus similar routes.
Chennai-Bangalore,2024-01-22,2.7777247303662485,2.51,5.94,No,,Cost is within the expected range based on 2.5% versus its own historical baseline and 5.9% versus similar routes.
Chennai-Bangalore,2024-01-29,2.6897423730212298,-1.35,5.11,No,,Cost is within the expected range based on -1.4% versus its own historical baseline and 5.1% versus similar routes.
Chennai-Bangalore,2024-02-05,2.688113534402345,-1.15,3.22,No,,Cost is within the expected range based on -1.1% versus its own historical baseline and 3.2% versus similar routes.
Chennai-Bangalore,2024-02-12,2.77406204554416,2.21,7.17,No,,Cost is within the expected range based on 2.2% versus its own historical baseline and 7.2% versus similar routes.
Chennai-Bangalore,2024-02-19,2.696484817842679,-0.96,4.36,No,,Cost is within the expected range based on -1.0% versus its own historical baseline and 4.4% versus similar routes.
Chennai-Bangalore,2024-02-26,2.623696689755433,-3.52,0.6,No,,Cost is within the expected range based on -3.5% versus its own historical baseline and 0.6% versus similar routes.
Chennai-Bangalore,2024-03-04,2.639839080358959,-2.63,4.93,No,,Cost is within the expected range based on -2.6% versus its own historical baseline and 4.9% versus similar routes.
Chennai-Bangalore,2024-03-11,2.7697168172163056,2.8,4.71,No,,Cost is within the expected range based on 2.8% versus its own historical baseline and 4.7% versus similar routes.
Chennai-Bangalore,2024-03-18,2.5943807632661158,-4.18,-0.52,No,,Cost is within the expected range based on -4.2% versus its own historical baseline and -0.5% versus similar routes.
Chennai-Bangalore,2024-03-25,2.733085023816408,1.81,2.77,No,,Cost is within the expected range based on 1.8% versus its own historical baseline and 2.8% versus similar routes.
Chennai-Bangalore,2024-04-01,2.7071448157783857,0.64,6.7,No,,Cost is within the expected range based on 0.6% versus its own historical baseline and 6.7% versus similar routes.
Chennai-Bangalore,2024-04-08,2.7560416668369943,2.37,7.23,No,,Cost is within the expected range based on 2.4% versus its own historical baseline and 7.2% versus similar routes.
Chennai-Bangalore,2024-04-15,2.6811542842260896,-0.33,5.66,No,,Cost is within the expected range based on -0.3% versus its own historical baseline and 5.7% versus similar routes.
Chennai-Bangalore,2024-04-22,2.59148788100958,-3.6,-0.58,No,,Cost is within the expected range based on -3.6% versus its own historical baseline and -0.6% versus similar routes.
Chennai-Bangalore,2024-04-29,2.728648328399294,1.66,7.85,No,,Cost is within the expected range based on 1.7% versus its own historical baseline and 7.8% versus similar routes.
Chennai-Bangalore,2024-05-06,2.5627365402318056,-4.92,-2.49,No,,Cost is within the expected range based on -4.9% versus its own historical baseline and -2.5% versus similar routes.
Chennai-Bangalore,2024-05-13,2.7583193483119177,3.33,6.0,No,,Cost is within the expected range based on 3.3% versus its own historical baseline and 6.0% versus similar routes.
Chennai-Bangalore,2024-05-20,2.672829403020732,-0.63,0.72,No,,Cost is within the expected range based on -0.6% versus its own historical baseline and 0.7% versus similar routes.
Chennai-Bangalore,2024-05-27,2.7255821564472646,1.61,7.05,No,,Cost is within the expected range based on 1.6% versus its own historical baseline and 7.1% versus similar routes.
Chennai-Bangalore,2024-06-03,2.7630784899128815,2.92,8.81,No,,Cost is within the expected range based on 2.9% versus its own historical baseline and 8.8% versus similar routes.
Chennai-Bangalore,2024-06-10,2.6041881884087914,-3.03,5.82,No,,Cost is within the expected range based on -3.0% versus its own historical baseline and 5.8% versus similar routes.
Chennai-Bangalore,2024-06-17,2.8052977771518233,4.84,10.18,Yes,,"Cost is unusually high based on 4.8% versus its own historical baseline and 10.2% versus similar routes. None of the retrieved notes are dated in or refer to the week of 2024-06-17; they pertain to events in 2025, so they do not provide a documented explanation for the cost increase in the requested week."
Chennai-Bangalore,2024-06-24,2.6543919931965765,-1.78,-0.22,No,,Cost is within the expected range based on -1.8% versus its own historical baseline and -0.2% versus similar routes.
Chennai-Bangalore,2024-07-01,2.7647584671186767,2.65,7.19,No,,Cost is within the expected range based on 2.7% versus its own historical baseline and 7.2% versus similar routes.
Chennai-Bangalore,2024-07-08,2.6769245505848325,-1.53,2.66,No,,Cost is within the expected range based on -1.5% versus its own historical baseline and 2.7% versus similar routes.
Chennai-Bangalore,2024-07-15,2.776951196859113,2.53,6.01,No,,Cost is within the expected range based on 2.5% versus its own historical baseline and 6.0% versus similar routes.
Chennai-Bangalore,2024-07-22,2.6551424301072686,-2.43,2.6,No,,Cost is within the expected range based on -2.4% versus its own historical baseline and 2.6% versus similar routes.
Chennai-Bangalore,2024-07-29,2.774044053995563,2.27,10.45,Yes,,Cost is unusually high based on 2.3% versus its own historical baseline and 10.5% versus similar routes. None of the retrieved notes are temporally applicable to the week of 2024-07-29; all notes are dated in 2025 and do not cover the requested period.
Chennai-Bangalore,2024-08-05,2.618004843801685,-3.54,0.74,No,,Cost is within the expected range based on -3.5% versus its own historical baseline and 0.7% versus similar routes.
Chennai-Bangalore,2024-08-12,2.793565130556011,2.87,11.71,Yes,,"Cost is unusually high based on 2.9% versus its own historical baseline and 11.7% versus similar routes. None of the retrieved notes are dated or temporally relevant to the week of 2024-08-12, so they do not provide a documented explanation for the cost increase on the Chennai-Bangalore route."
Chennai-Bangalore,2024-08-19,2.762501343193522,1.78,4.38,No,,Cost is within the expected range based on 1.8% versus its own historical baseline and 4.4% versus similar routes.
Chennai-Bangalore,2024-08-26,2.6712349239515842,-2.07,4.85,No,,Cost is within the expected range based on -2.1% versus its own historical baseline and 4.8% versus similar routes.
Chennai-Bangalore,2024-09-02,2.5579690683744025,-5.82,1.17,No,,Cost is within the expected range based on -5.8% versus its own historical baseline and 1.2% versus similar routes.
Chennai-Bangalore,2024-09-09,2.7098953114457216,0.32,6.58,No,,Cost is within the expected range based on 0.3% versus its own historical baseline and 6.6% versus similar routes.
Chennai-Bangalore,2024-09-16,2.6609828252415646,-1.18,0.75,No,,Cost is within the expected range based on -1.2% versus its own historical baseline and 0.8% versus similar routes.
Chennai-Bangalore,2024-09-23,2.630695296110548,-2.33,1.17,No,,Cost is within the expected range based on -2.3% versus its own historical baseline and 1.2% versus similar routes.
Chennai-Bangalore,2024-09-30,2.6337765861419533,-1.56,1.51,No,,Cost is within the expected range based on -1.6% versus its own historical baseline and 1.5% versus similar routes.
Chennai-Bangalore,2024-10-07,2.7107197686041515,1.24,4.41,No,,Cost is within the expected range based on 1.2% versus its own historical baseline and 4.4% versus similar routes.
Chennai-Bangalore,2024-10-14,2.6281864327726945,-1.46,3.19,No,,Cost is within the expected range based on -1.5% versus its own historical baseline and 3.2% versus similar routes.
Chennai-Bangalore,2024-10-21,2.7217984457396045,2.69,4.12,No,,Cost is within the expected range based on 2.7% versus its own historical baseline and 4.1% versus similar routes.
Chennai-Bangalore,2024-10-28,2.599817438047263,-2.14,-0.01,No,,Cost is within the expected range based on -2.1% versus its own historical baseline and -0.0% versus similar routes.
Chennai-Bangalore,2024-11-04,2.729629979954671,2.54,7.4,No,,Cost is within the expected range based on 2.5% versus its own historical baseline and 7.4% versus similar routes.
Chennai-Bangalore,2024-11-11,2.749091490542296,3.18,5.91,No,,Cost is within the expected range based on 3.2% versus its own historical baseline and 5.9% versus similar routes.
Chennai-Bangalore,2024-11-18,2.7689253848307924,3.49,7.71,No,,Cost is within the expected range based on 3.5% versus its own historical baseline and 7.7% versus similar routes.
Chennai-Bangalore,2024-11-25,2.758223560499289,2.43,4.82,No,,Cost is within the expected range based on 2.4% versus its own historical baseline and 4.8% versus similar routes.
Chennai-Bangalore,2024-12-02,2.7328302641646225,0.91,8.02,No,,Cost is within the expected range based on 0.9% versus its own historical baseline and 8.0% versus similar routes.
Chennai-Bangalore,2024-12-09,2.6501013648046916,-2.25,6.16,No,,Cost is within the expected range based on -2.2% versus its own historical baseline and 6.2% versus similar routes.
Chennai-Bangalore,2024-12-16,2.688857039390802,-0.92,6.75,No,,Cost is within the expected range based on -0.9% versus its own historical baseline and 6.7% versus similar routes.
Chennai-Bangalore,2024-12-23,2.753071405209561,1.6,3.27,No,,Cost is within the expected range based on 1.6% versus its own historical baseline and 3.3% versus similar routes.
Chennai-Bangalore,2024-12-30,2.7360701854421507,0.26,5.75,No,,Cost is within the expected range based on 0.3% versus its own historical baseline and 5.8% versus similar routes.
Chennai-Bangalore,2025-01-06,2.719594692750129,-0.37,8.23,No,,Cost is within the expected range based on -0.4% versus its own historical baseline and 8.2% versus similar routes.
Chennai-Bangalore,2025-01-13,2.565692181093666,-5.88,-2.44,No,,Cost is within the expected range based on -5.9% versus its own historical baseline and -2.4% versus similar routes.
Chennai-Bangalore,2025-01-20,2.797559250399101,3.59,-4.6,No,,Cost is within the expected range based on 3.6% versus its own historical baseline and -4.6% versus similar routes.
Chennai-Bangalore,2025-01-27,2.7381785842683874,1.21,8.81,No,,Cost is within the expected range based on 1.2% versus its own historical baseline and 8.8% versus similar routes.
Chennai-Bangalore,2025-02-03,2.6832145254115654,-0.85,6.55,No,,Cost is within the expected range based on -0.8% versus its own historical baseline and 6.5% versus similar routes.
Chennai-Bangalore,2025-02-10,2.7193960225530875,0.34,7.1,No,,Cost is within the expected range based on 0.3% versus its own historical baseline and 7.1% versus similar routes.
Chennai-Bangalore,2025-02-17,2.8429086102475187,4.75,10.33,Yes,,Cost is unusually high based on 4.7% versus its own historical baseline and 10.3% versus similar routes. None of the retrieved notes apply to the Chennai-Bangalore route during the week of 2025-02-17; they either refer to later dates or unrelated periods.
Chennai-Bangalore,2025-02-24,3.5828266015473207,31.46,38.67,No,N001,"Heavy flooding on the Chennai‑Bangalore highway from Feb 24 to Mar 8 forced longer detours, directly raising trip costs for the requested week."
Chennai-Bangalore,2025-03-03,3.476189317773476,22.78,31.98,No,N001,"Heavy flooding on the Chennai-Bangalore highway from Feb 24 to Mar 8 disrupted truck movement, causing longer detours and higher trip costs during the week of 2025‑03‑03."
Chennai-Bangalore,2025-03-10,3.5716665390864866,22.08,33.84,Yes,,Cost is unusually high based on 22.1% versus its own historical baseline and 33.8% versus similar routes. None of the retrieved notes describe a factor affecting the Chennai-Bangalore route during the week of 2025-03-10; the flooding disruption ended before that week and the diesel price increase occurred later.
Chennai-Bangalore,2025-03-17,3.469236786814111,13.69,33.48,Yes,,Cost is unusually high based on 13.7% versus its own historical baseline and 33.5% versus similar routes. None of the retrieved notes apply to the Chennai-Bangalore route during the week of 2025-03-17 or provide a documented factor that could increase freight cost for that week.
Chennai-Bangalore,2025-03-24,2.7092622198884473,-13.59,7.45,No,,Cost is within the expected range based on -13.6% versus its own historical baseline and 7.5% versus similar routes.
